date,campaign_id,campaign_name,angle,spend_inr,impressions,clicks,conversions
2026-05-06,CAM-META-003,LL_Meta_HeroSKU_Lifestyle,hero-sku-lifestyle,12333,102273,1510,21
2026-05-07,CAM-META-001,LL_Meta_ProblemSolver_CradleCap,problem-solver,10323,79933,1410,28
2026-05-07,CAM-META-002,LL_Meta_SocialProof_Reviews,social-proof,8136,70438,1134,22
2026-05-07,CAM-META-003,LL_Meta_HeroSKU_Lifestyle,hero-sku-lifestyle,11976,93397,1379,21
2026-05-08,CAM-META-001,LL_Meta_ProblemSolver_CradleCap,problem-solver,9503,77969,1135,26
2026-05-08,CAM-META-002,LL_Meta_SocialProof_Reviews,social-proof,7642,60758,1009,21
2026-05-08,CAM-META-003,LL_Meta_HeroSKU_Lifestyle,hero-sku-lifestyle,13107,97374,1809,23
2026-05-09,CAM-META-001,LL_Meta_ProblemSolver_CradleCap,problem-solver,12198,104590,1329,33
2026-05-09,CAM-META-002,LL_Meta_SocialProof_Reviews,social-proof,7827,59011,855,21
2026-05-09,CAM-META-003,LL_Meta_HeroSKU_Lifestyle,hero-sku-lifestyle,13189,109848,1681,23
2026-05-10,CAM-META-001,LL_Meta_ProblemSolver_CradleCap,problem-solver,12425,103045,1650,33
2026-05-10,CAM-META-002,LL_Meta_SocialProof_Reviews,social-proof,6901,61742,909,19
2026-05-10,CAM-META-003,LL_Meta_HeroSKU_Lifestyle,hero-sku-lifestyle,10954,83274,1437,19
2026-05-11,CAM-META-001,LL_Meta_ProblemSolver_CradleCap,problem-solver,9594,77695,1087,26
2026-05-11,CAM-META-002,LL_Meta_SocialProof_Reviews,social-proof,7143,56366,948,19
2026-05-11,CAM-META-003,LL_Meta_HeroSKU_Lifestyle,hero-sku-lifestyle,10615,92501,1307,18
2026-05-12,CAM-META-001,LL_Meta_ProblemSolver_CradleCap,problem-solver,10910,94846,1402,29
2026-05-12,CAM-META-002,LL_Meta_SocialProof_Reviews,social-proof,7408,65379,793,20
2026-05-12,CAM-META-003,LL_Meta_HeroSKU_Lifestyle,hero-sku-lifestyle,11826,98103,1537,21
